Points,Longitude,Latitude,HALLMARK_ANGIOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_P53_PATHWAY,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_DNA_REPAIR,Max,P
1299,171.56849,132.86314,-8.284986292,-50.40750336,-48.75258159,-56.7514149,-3.35E+01,-40.67002927,-23.49638746,-33.89870847,0,HALLMARK_ANGIOGENESIS
1300,178.50107,132.86314,-8.086034454,-50.15636073,-48.48335466,-54.66736601,-3.33E+01,-40.35642644,-23.33988796,-33.6766575,0,HALLMARK_ANGIOGENESIS
1301,185.43364,132.86314,-7.949668094,-49.93253097,-48.16775124,-53.88633003,-3.31E+01,-40.10449832,-23.22115417,-33.38084536,0,HALLMARK_ANGIOGENESIS
1302,192.36621,132.86314,-7.812419918,-49.42274089,-47.55516412,-53.42777681,-3.28E+01,-39.62701197,-23.02718944,-33.01866856,0,HALLMARK_ANGIOGENESIS
1303,199.29878,132.86314,-7.933288507,-48.95319827,-46.97071437,-54.82330939,-3.24E+01,-38.9318363,-22.84523808,-32.56297483,0,HALLMARK_ANGIOGENESIS
1304,206.23136,132.86314,-7.980541436,-48.68488439,-46.60163215,-55.58532002,-3.20E+01,-38.14889833,-22.53604335,-31.81223215,0,HALLMARK_ANGIOGENESIS
1305,213.16393,132.86314,-7.768267064,-47.74041739,-45.72087116,-53.73810557,-3.10E+01,-36.99286282,-21.83064203,-30.53582595,0,HALLMARK_ANGIOGENESIS
1306,220.0965,132.86314,-7.138649374,-46.18881602,-44.13382304,-49.80977136,-2.92E+01,-34.26008673,-20.51060149,-28.69213425,0,HALLMARK_ANGIOGENESIS
1307,227.02908,132.86314,-6.21146142,-43.29826582,-41.03095771,-45.06053633,-2.67E+01,-30.32170872,-18.61770041,-25.644945,0,HALLMARK_ANGIOGENESIS
1308,233.96165,132.86314,-5.904513036,-38.79843849,-36.5070978,-41.05292862,-2.31E+01,-26.25036343,-16.26856258,-21.69435981,0,HALLMARK_ANGIOGENESIS
1309,240.89422,132.86314,-5.15021784,-34.62839293,-32.49509553,-37.22597641,-1.99E+01,-22.15772429,-13.96642387,-18.5300895,0,HALLMARK_ANGIOGENESIS
1310,247.82679,132.86314,-4.946742234,-30.76671453,-28.18547986,-36.54313032,-1.72E+01,-19.89713364,-12.15886175,-15.8922375,0,HALLMARK_ANGIOGENESIS
1311,254.75937,132.86314,-4.036902369,-21.30938275,-17.35038819,-30.32295929,-1.13E+01,-13.56862727,-8.77734909,-10.68434005,0,HALLMARK_ANGIOGENESIS
1312,261.69194,132.86314,-2.037518119,-9.004419966,-2.911480433,-19.17113535,-2.99E+00,-4.434921778,-4.100875507,-4.54274485,0,HALLMARK_ANGIOGENESIS
1313,268.62451,132.86314,-3.088881422,-6.51725845,-0.163431894,-24.01589976,-9.71E-01,-3.19013668,-3.483498254,-3.33163818,0,HALLMARK_ESTROGEN_RESPONSE_LATE
1314,275.55709,132.86314,-4.274641831,-15.78752255,-10.29059305,-29.76960596,-6.62E+00,-9.977005141,-6.466597121,-7.16000424,0,HALLMARK_ANGIOGENESIS
1315,282.48966,132.86314,-4.895668869,-24.0153566,-19.16968255,-33.10461703,-1.20E+01,-15.50320392,-9.25529241,-10.85311287,0,HALLMARK_ANGIOGENESIS
1316,289.42223,132.86314,-4.876106476,-26.19805126,-21.48274787,-33.37683431,-1.37E+01,-16.59383214,-10.06106247,-11.82500228,0,HALLMARK_ANGIOGENESIS
1317,296.3548,132.86314,-3.959240702,-23.69053922,-18.91117943,-30.48176371,-1.20E+01,-14.57628809,-8.98320346,-10.57163609,0,HALLMARK_ANGIOGENESIS
1318,303.28738,132.86314,-3.341692582,-21.59644252,-17.36818443,-27.09408852,-1.07E+01,-12.41211963,-8.702189189,-9.87432242,0,HALLMARK_ANGIOGENESIS
1319,310.21995,132.86314,-2.983699717,-23.78910776,-20.69897537,-25.57883866,-1.25E+01,-13.57930205,-9.702053263,-10.69344856,0,HALLMARK_ANGIOGENESIS
1320,317.15252,132.86314,-2.467881485,-23.18657725,-20.26852741,-23.91263755,-1.26E+01,-13.39752476,-9.624310199,-10.6184592,0,HALLMARK_ANGIOGENESIS
1321,324.0851,132.86314,-1.82694631,-21.8909715,-19.12988351,-20.50006531,-1.19E+01,-13.74362228,-9.364696397,-10.59697323,0,HALLMARK_ANGIOGENESIS
1322,331.01767,132.86314,-1.604956512,-20.62585653,-17.70245367,-17.4919554,-1.09E+01,-12.99150891,-8.82542742,-9.86271243,0,HALLMARK_ANGIOGENESIS
1323,337.95024,132.86314,-1.542193192,-20.21910044,-17.01924318,-12.41531531,-1.01E+01,-11.27916522,-8.60122761,-9.34250337,0,HALLMARK_ANGIOGENESIS
1324,344.88282,132.86314,-2.463587842,-21.71777165,-18.77213939,-16.61740265,-1.09E+01,-12.03399851,-8.714455929,-10.16173455,0,HALLMARK_ANGIOGENESIS
1325,351.81539,132.86314,-2.249592654,-21.73679911,-18.83612523,-18.22999627,-1.15E+01,-11.42384179,-8.196966755,-10.32706227,0,HALLMARK_ANGIOGENESIS
1326,358.74796,132.86314,-1.36743177,-20.81741405,-17.94970106,-16.3826489,-1.17E+01,-10.37858886,-7.642688344,-10.29954326,0,HALLMARK_ANGIOGENESIS
1327,365.68053,132.86314,-1.74452665,-21.05007475,-18.40418741,-15.85878311,-1.22E+01,-10.65048099,-7.703372017,-10.29735993,0,HALLMARK_ANGIOGENESIS
1328,372.61311,132.86314,-1.759879644,-19.97941161,-17.88719487,-12.92040556,-1.16E+01,-9.857364257,-7.743697128,-9.41173926,0,HALLMARK_ANGIOGENESIS
1329,379.54568,132.86314,-2.432311488,-22.74087944,-20.81853403,-15.50812247,-1.26E+01,-12.12714398,-8.918964186,-10.14918217,0,HALLMARK_ANGIOGENESIS
1330,386.47825,132.86314,-2.675306559,-24.95219446,-22.33333414,-18.04484312,-1.38E+01,-14.26594759,-9.696800396,-11.54959808,0,HALLMARK_ANGIOGENESIS
1331,393.41083,132.86314,-3.195085788,-26.86118444,-23.80855793,-20.09456644,-1.52E+01,-17.01027383,-10.47662543,-13.00645927,0,HALLMARK_ANGIOGENESIS
1332,400.3434,132.86314,-3.543669654,-26.74908087,-23.8558185,-18.54441511,-1.50E+01,-17.74838364,-10.31898068,-13.11289364,0,HALLMARK_ANGIOGENESIS
1333,407.27597,132.86314,-3.140667422,-24.45320572,-21.42427207,-12.15919755,-1.34E+01,-15.59118156,-8.833204668,-11.85761954,0,HALLMARK_ANGIOGENESIS
1334,414.20854,132.86314,-2.042038021,-20.01376709,-17.18456147,-3.243614182,-1.03E+01,-11.50678948,-7.115008903,-9.43133926,0,HALLMARK_ANGIOGENESIS
1335,421.14112,132.86314,-0.452097499,-12.62533313,-10.54914524,8.091948127,-5.57E+00,-6.009882984,-4.415568394,-5.81264222,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1336,428.07369,132.86314,1.486455514,-6.394132424,-3.961349589,19.45837864,-9.25E-01,-0.543419682,-1.378457442,-1.76292143,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1337,435.00626,132.86314,3.121150552,-1.04344434,2.327356905,28.80512836,3.88E+00,5.73069645,1.982287272,3.247176,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1338,441.93884,132.86314,4.573747958,2.651096783,6.045817283,38.09280035,7.33E+00,9.938225412,4.564604482,7.01158316,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1339,448.87141,132.86314,5.153621893,3.89650424,6.402086795,45.07029242,8.25E+00,10.22010679,5.004274618,9.06729663,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1340,455.80398,132.86314,7.515744934,7.518061137,9.794818937,58.12842887,1.06E+01,12.60919292,6.440513205,12.37927048,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1341,462.73655,132.86314,10.62560745,13.53497578,16.17263494,79.30992428,1.50E+01,18.33377642,8.760645117,16.59360874,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1342,469.66913,132.86314,14.9214908,18.06509167,21.55794623,106.2534974,1.88E+01,23.47814712,11.1827175,19.77561762,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1343,476.6017,132.86314,17.3031871,21.33970294,25.88997683,119.6921712,2.13E+01,26.4966511,12.98148661,21.43363472,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1344,483.53427,132.86314,16.1627324,22.84034212,28.25025438,106.5480235,2.36E+01,27.93907721,14.00923481,21.54288205,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1345,490.46685,132.86314,13.29128503,16.38448153,22.14909919,78.27473785,1.98E+01,23.7686631,11.42204176,17.95963336,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1346,497.39942,132.86314,11.47367548,12.36412653,18.2649389,65.25542751,1.63E+01,21.23678157,9.474545934,15.33583153,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1347,504.33199,132.86314,11.73018013,9.766732788,15.41346489,65.595372,1.49E+01,20.30957281,8.975384451,13.47596055,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1348,511.26457,132.86314,11.51594969,7.471677806,12.94292547,63.84181074,1.33E+01,18.80819886,8.377066155,12.01709393,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1349,518.19714,132.86314,11.26450643,5.568063268,10.93663221,62.37042258,1.20E+01,17.37580951,7.817947077,10.94297855,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1350,525.12971,132.86314,11.10620447,4.153262841,9.483169845,61.64514299,1.09E+01,16.28482761,7.417483231,10.24795456,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1351,532.06228,132.86314,11.01898108,3.166904831,8.506433755,61.45418011,1.03E+01,15.52855022,7.174724565,9.85688941,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1352,538.99486,132.86314,10.96859513,2.509236919,7.889495655,61.53953927,9.81E+00,15.03022815,7.053562545,9.68516584,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1353,545.92743,132.86314,10.92906729,2.090033141,7.529711448,61.7094688,9.53E+00,14.71298131,7.016464106,9.66264323,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1354,552.86,132.86314,10.8843683,1.839862301,7.348439888,61.84504453,9.37E+00,14.51721139,7.033827455,9.73763549,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1355,559.79258,132.86314,10.82625414,1.708771431,7.289045304,61.88366495,9.29E+00,14.40113204,7.08475103,9.87425549,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1356,566.72515,132.86314,10.75172984,1.661994101,7.314656379,61.80071836,9.27E+00,14.33698511,7.155383877,10.04848029,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1357,573.65772,132.86314,10.66099324,1.675742036,7.400015313,61.59486503,9.28E+00,14.30697833,7.236975546,10.24465419,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1358,580.59029,132.86314,10.55597473,1.733851382,7.529816866,61.27761385,9.33E+00,14.30001766,7.324244534,10.45280676,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1359,587.52287,132.86314,10.43938055,1.825322451,7.691449851,60.8664858,9.39E+00,14.30934352,7.414167556,10.66672933,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1360,594.45544,132.86314,10.31410714,1.942591981,7.875575053,60.38080906,9.46E+00,14.33091184,7.505134199,10.88264679,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1361,46.78218,139.48082,-4.164521913,-24.81666199,-23.29028128,-29.02991326,-1.62E+01,-18.67234207,-12.34458003,-15.36034179,0,HALLMARK_ANGIOGENESIS
1362,53.71475,139.48082,-4.537036203,-26.97770388,-25.41584668,-31.59360342,-1.77E+01,-20.53501159,-13.25515595,-16.89186421,0,HALLMARK_ANGIOGENESIS
1363,60.64733,139.48082,-4.952122561,-29.41746294,-27.80095838,-34.49139413,-1.93E+01,-22.61797751,-14.27066516,-18.60660686,0,HALLMARK_ANGIOGENESIS
1364,67.5799,139.48082,-5.415248458,-32.18318314,-30.48732469,-37.77709681,-2.12E+01,-24.95208925,-15.40815868,-20.53012918,0,HALLMARK_ANGIOGENESIS
1365,74.51247,139.48082,-5.928979819,-35.31032424,-33.50418866,-41.48575849,-2.33E+01,-27.55787714,-16.68103349,-22.68056482,0,HALLMARK_ANGIOGENESIS
1366,81.44504,139.48082,-6.487394171,-38.7887586,-36.84112455,-45.58776975,-2.56E+01,-30.4222275,-18.08828686,-25.05201854,0,HALLMARK_ANGIOGENESIS
1367,88.37762,139.48082,-7.075904165,-42.49325715,-40.38721921,-49.9109181,-2.81E+01,-33.45311709,-19.59221017,-27.57876816,0,HALLMARK_ANGIOGENESIS
1368,95.31019,139.48082,-7.753608678,-46.08643466,-43.8310214,-54.13544911,-3.04E+01,-36.42817452,-21.07373425,-30.05234303,0,HALLMARK_ANGIOGENESIS
1369,102.24276,139.48082,-8.18219177,-48.30189782,-46.07356312,-56.4666789,-3.20E+01,-38.45815793,-22.09139818,-31.83695513,0,HALLMARK_ANGIOGENESIS
1370,109.17534,139.48082,-8.363521366,-49.67200881,-47.38870782,-57.7446749,-3.28E+01,-39.63004942,-22.69176741,-32.84493305,0,HALLMARK_ANGIOGENESIS
1371,116.10791,139.48082,-8.31892406,-50.23226342,-48.24337361,-58.43850192,-3.34E+01,-40.27333781,-23.09429009,-33.34394436,0,HALLMARK_ANGIOGENESIS
1372,123.04048,139.48082,-8.206071654,-50.31259195,-48.47168148,-58.02316881,-3.35E+01,-40.13379613,-23.19892635,-33.44656235,0,HALLMARK_ANGIOGENESIS
1373,129.97305,139.48082,-8.260184415,-50.35160493,-48.55991412,-58.16323574,-3.35E+01,-40.12974065,-23.24632716,-33.50503289,0,HALLMARK_ANGIOGENESIS
1374,136.90563,139.48082,-8.409388292,-50.48083853,-48.78155719,-59.1350656,-3.36E+01,-40.51251419,-23.44243879,-33.69572785,0,HALLMARK_ANGIOGENESIS
1375,143.8382,139.48082,-8.412240209,-50.87705706,-49.15272289,-60.00552964,-3.39E+01,-40.81348697,-23.67950861,-34.02286421,0,HALLMARK_ANGIOGENESIS
1376,150.77077,139.48082,-8.61630653,-51.19034337,-49.4536772,-61.08794547,-3.41E+01,-41.21648928,-23.87966732,-34.24468223,0,HALLMARK_ANGIOGENESIS
1377,157.70335,139.48082,-8.755956521,-51.25090869,-49.49426843,-61.49190804,-3.42E+01,-41.45102163,-23.97026832,-34.36348619,0,HALLMARK_ANGIOGENESIS
1378,164.63592,139.48082,-8.711409659,-51.01897944,-49.30512194,-60.85673912,-3.41E+01,-41.41425101,-23.92594323,-34.31382053,0,HALLMARK_ANGIOGENESIS
1379,171.56849,139.48082,-8.574376292,-50.82387354,-49.14959255,-59.21322358,-3.39E+01,-41.16500421,-23.82064845,-34.23219846,0,HALLMARK_ANGIOGENESIS
1380,178.50107,139.48082,-8.471497421,-50.70838529,-48.97259421,-57.6973156,-3.37E+01,-40.78109493,-23.66459203,-33.98806985,0,HALLMARK_ANGIOGENESIS
1381,185.43364,139.48082,-8.377365202,-50.56222942,-48.71043805,-57.24166864,-3.36E+01,-40.50955426,-23.56881829,-33.70425049,0,HALLMARK_ANGIOGENESIS
1382,192.36621,139.48082,-8.319603304,-50.27126256,-48.35486937,-56.98162196,-3.34E+01,-40.15985491,-23.40443161,-33.46209517,0,HALLMARK_ANGIOGENESIS
1383,199.29878,139.48082,-8.231283274,-49.85335415,-47.86410253,-57.13753694,-3.28E+01,-39.52638746,-23.15291479,-32.95973789,0,HALLMARK_ANGIOGENESIS
1384,206.23136,139.48082,-8.143122954,-49.28325555,-47.20817122,-56.73256446,-3.22E+01,-38.5935426,-22.72844796,-32.05037131,0,HALLMARK_ANGIOGENESIS
1385,213.16393,139.48082,-7.965915735,-48.08679568,-45.99627669,-55.00525345,-3.10E+01,-37.00174472,-21.83706147,-30.53523246,0,HALLMARK_ANGIOGENESIS
1386,220.0965,139.48082,-7.32524725,-45.58866516,-43.27749685,-51.41679311,-2.85E+01,-33.77325107,-20.11703106,-27.92202007,0,HALLMARK_ANGIOGENESIS
1387,227.02908,139.48082,-6.491944918,-40.27741925,-37.81646023,-46.12270269,-2.41E+01,-28.16418521,-17.2482863,-23.56001785,0,HALLMARK_ANGIOGENESIS
1388,233.96165,139.48082,-5.15114961,-32.4722297,-29.94921359,-37.64885578,-1.82E+01,-20.29027152,-13.50187181,-18.32153161,0,HALLMARK_ANGIOGENESIS
1389,240.89422,139.48082,-4.777260553,-30.7245148,-28.20583294,-35.07917324,-1.66E+01,-17.95969519,-11.92149831,-16.21786887,0,HALLMARK_ANGIOGENESIS
1390,247.82679,139.48082,-4.812744635,-29.95591861,-27.19348216,-35.71031473,-1.65E+01,-18.23448666,-11.54181533,-15.32268282,0,HALLMARK_ANGIOGENESIS
1391,254.75937,139.48082,-4.453981831,-24.99111108,-21.23132671,-33.00240261,-1.35E+01,-15.04956693,-9.765365959,-12.56048799,0,HALLMARK_ANGIOGENESIS
1392,261.69194,139.48082,-3.538567723,-16.99173119,-11.59137908,-29.05508894,-8.10E+00,-9.417995724,-6.806531075,-8.52716462,0,HALLMARK_ANGIOGENESIS
1393,268.62451,139.48082,-3.654325142,-12.98339632,-7.190612634,-28.71928932,-5.65E+00,-6.867982308,-5.781124033,-6.52180953,0,HALLMARK_ANGIOGENESIS
1394,275.55709,139.48082,-4.36139936,-18.3540398,-13.08093561,-31.07527838,-8.84E+00,-10.88542798,-7.704225094,-8.67604889,0,HALLMARK_ANGIOGENESIS
1395,282.48966,139.48082,-4.473957081,-23.98318001,-18.8154081,-31.94065729,-1.16E+01,-14.21849643,-8.968794252,-10.79989525,0,HALLMARK_ANGIOGENESIS
1396,289.42223,139.48082,-3.779000922,-24.97602499,-19.62492188,-29.92701899,-1.15E+01,-13.40227874,-8.709426604,-10.72833131,0,HALLMARK_ANGIOGENESIS
1397,296.3548,139.48082,-3.640021303,-22.75165531,-17.57829448,-28.27734714,-1.10E+01,-12.83618965,-8.47185715,-10.16038782,0,HALLMARK_ANGIOGENESIS
1398,303.28738,139.48082,-2.949583372,-21.74803676,-17.11485385,-24.47476982,-1.03E+01,-11.41800098,-8.61378786,-9.70701873,0,HALLMARK_ANGIOGENESIS
1399,310.21995,139.48082,-2.821170007,-22.33781128,-18.60339387,-23.48565936,-1.07E+01,-10.42238798,-8.978075817,-9.66175366,0,HALLMARK_ANGIOGENESIS
1400,317.15252,139.48082,-2.461008824,-22.71329683,-19.21599404,-23.08936135,-1.16E+01,-11.95722754,-9.373069151,-9.83960091,0,HALLMARK_ANGIOGENESIS
1401,324.0851,139.48082,-2.321772891,-23.47919388,-20.09977423,-21.35502083,-1.20E+01,-13.91952601,-9.811320577,-10.77271099,0,HALLMARK_ANGIOGENESIS
1402,331.01767,139.48082,-1.775018376,-21.96120242,-18.52380377,-15.93277387,-1.11E+01,-12.89715667,-9.066540006,-10.14106856,0,HALLMARK_ANGIOGENESIS
1403,337.95024,139.48082,-1.768913962,-21.11389973,-17.57923513,-13.7808364,-1.04E+01,-11.62116712,-8.610441938,-9.2072931,0,HALLMARK_ANGIOGENESIS
1404,344.88282,139.48082,-2.15942618,-20.92392299,-17.69297283,-14.8724245,-1.03E+01,-11.44026203,-8.349711037,-9.1417014,0,HALLMARK_ANGIOGENESIS
1405,351.81539,139.48082,-1.019722345,-20.35356948,-17.01018009,-12.60555409,-1.06E+01,-10.11208143,-7.426998293,-9.14196747,0,HALLMARK_ANGIOGENESIS
1406,358.74796,139.48082,-0.237181345,-19.19335446,-16.05729339,-10.26177279,-1.08E+01,-9.100314406,-6.898912144,-8.98329381,0,HALLMARK_ANGIOGENESIS
1407,365.68053,139.48082,-0.788910453,-19.45343106,-16.97192637,-11.28550843,-1.18E+01,-10.37261697,-7.057479805,-9.31656072,0,HALLMARK_ANGIOGENESIS
1408,372.61311,139.48082,-1.323250507,-18.38023933,-16.48118695,-12.02772468,-1.10E+01,-9.377885451,-6.854847637,-8.4661615,0,HALLMARK_ANGIOGENESIS
1409,379.54568,139.48082,-1.599655841,-19.91232713,-18.02246774,-12.48887407,-1.12E+01,-10.00938769,-7.562160243,-8.41103434,0,HALLMARK_ANGIOGENESIS
1410,386.47825,139.48082,-2.174314551,-22.21706448,-19.80518964,-14.24353169,-1.23E+01,-11.90629266,-8.371871402,-9.7296836,0,HALLMARK_ANGIOGENESIS
1411,393.41083,139.48082,-2.922249697,-24.86729933,-22.13288839,-20.58898022,-1.41E+01,-15.7562256,-9.657666018,-12.15571806,0,HALLMARK_ANGIOGENESIS
1412,400.3434,139.48082,-3.456595661,-26.62243335,-23.9533645,-21.73965439,-1.51E+01,-17.73485401,-10.31643035,-13.61606483,0,HALLMARK_ANGIOGENESIS
1413,407.27597,139.48082,-3.519251388,-26.88322848,-23.98199976,-18.58765376,-1.55E+01,-18.03335737,-10.21443632,-13.97362195,0,HALLMARK_ANGIOGENESIS
1414,414.20854,139.48082,-2.868627059,-24.45804049,-21.61186301,-12.89726501,-1.39E+01,-15.97976091,-9.298155622,-12.58947567,0,HALLMARK_ANGIOGENESIS
1415,421.14112,139.48082,-1.347358726,-19.15662552,-16.65272586,-2.479536335,-9.73E+00,-11.54782586,-7.020612729,-9.37470585,0,HALLMARK_ANGIOGENESIS
1416,428.07369,139.48082,0.408632131,-12.99187172,-10.62605471,7.546537785,-5.25E+00,-5.729427391,-3.964336748,-5.47784504,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1417,435.00626,139.48082,2.140145128,-5.676993472,-2.572997941,19.10373978,7.18E-01,1.507232731,-0.492570384,0.10755279,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1418,441.93884,139.48082,4.971774305,4.825338824,8.064931709,38.03877579,8.80E+00,11.16985897,3.980651497,6.43136215,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1419,448.87141,139.48082,7.652263816,10.50720272,13.19864741,55.81020516,1.29E+01,16.917508,6.885596945,10.87693025,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1420,455.80398,139.48082,9.917607862,16.61104742,18.89932908,73.07230114,1.67E+01,21.14441991,9.289165985,15.23500228,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1421,462.73655,139.48082,12.07266473,22.45785742,24.97413423,86.81127045,2.04E+01,25.28695806,11.17779081,19.24461247,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1422,469.66913,139.48082,17.78142175,24.49524116,27.83952967,119.8479783,2.32E+01,30.29627798,13.17271262,21.6171165,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1423,476.6017,139.48082,22.10749559,24.20809469,28.73616925,144.9608192,2.49E+01,33.39705063,14.82067745,22.38410938,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1424,483.53427,139.48082,19.43337437,22.09190017,27.11726461,125.2553325,2.40E+01,30.42818663,15.25015079,21.35252066,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1425,490.46685,139.48082,13.39879584,14.49918321,20.2570505,79.61829184,1.87E+01,22.44731099,12.05843487,16.35671634,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1426,497.39942,139.48082,9.88249226,8.675323401,14.36861727,59.16501282,1.42E+01,17.51991062,8.917486182,12.91740552,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1427,504.33199,139.48082,10.53355219,8.022845183,13.53580977,60.36152031,1.36E+01,18.25530396,8.752644409,12.15190252,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1428,511.26457,139.48082,10.95106376,6.673782055,11.95961394,61.5258184,1.26E+01,17.68689899,8.352278775,11.2832964,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1429,518.19714,139.48082,11.12687715,5.312369497,10.46344261,62.19721794,1.16E+01,16.81351565,7.939276012,10.59260401,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1430,525.12971,139.48082,11.23278165,4.255418944,9.36246701,62.86660964,1.08E+01,16.10850598,7.658280654,10.17827272,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1431,532.06228,139.48082,11.30711032,3.508419546,8.635697208,63.55678902,1.04E+01,15.62629515,7.507553933,9.99325246,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1432,538.99486,139.48082,11.35168502,3.006317865,8.194286682,64.16636702,1.01E+01,15.31823647,7.451370317,9.968501,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1433,545.92743,139.48082,11.36232635,2.682970019,7.955210284,64.60878554,9.87E+00,15.12753716,7.455649477,10.04678979,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1434,552.86,139.48082,11.33743363,2.486590762,7.852135093,64.84114971,9.77E+00,15.01087093,7.495493758,10.18750145,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1435,559.79258,139.48082,11.27887142,2.380203887,7.837905433,64.85742818,9.73E+00,14.93952863,7.554672127,10.36387598,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1436,566.72515,139.48082,11.19085829,2.338526129,7.885553743,64.67492602,9.73E+00,14.89593629,7.623388066,10.55913074,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1437,573.65772,139.48082,11.07871806,2.344627976,7.978770137,64.32278032,9.75E+00,14.86999931,7.696159342,10.76317945,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1438,580.59029,139.48082,10.94796725,2.387238626,8.104636127,63.83411549,9.79E+00,14.85629596,7.770214171,10.97023197,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1439,587.52287,139.48082,10.80376533,2.45878919,8.255022606,63.24135226,9.84E+00,14.85215376,7.844386826,11.17715295,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1440,594.45544,139.48082,10.65063889,2.554069813,8.423103773,62.57374919,9.91E+00,14.85641037,7.918397806,11.38238413,4,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
1441,46.78218,146.09851,-4.36788742,-25.34301136,-23.80279272,-30.32100216,-1.65E+01,-19.10586582,-12.5851324,-15.61011429,0,HALLMARK_ANGIOGENESIS
1442,53.71475,146.09851,-4.750948902,-27.53824857,-25.95808013,-32.97392952,-1.80E+01,-20.99850863,-13.50850111,-17.15127374,0,HALLMARK_ANGIOGENESIS
1443,60.64733,146.09851,-5.171781502,-29.98922857,-28.35205479,-35.93481221,-1.97E+01,-23.09603793,-14.52726357,-18.8633047,0,HALLMARK_ANGIOGENESIS
1444,67.5799,146.09851,-5.631910014,-32.72491554,-31.00844581,-39.22984004,-2.15E+01,-25.41674114,-15.65125953,-20.76297751,0,HALLMARK_ANGIOGENESIS
1445,74.51247,146.09851,-6.128898423,-35.75858517,-33.9369667,-42.85627266,-2.36E+01,-27.96673292,-16.88457191,-22.85724055,0,HALLMARK_ANGIOGENESIS
1446,81.44504,146.09851,-6.653154437,-39.06620893,-37.11772366,-46.74845391,-2.58E+01,-30.7274494,-18.2180587,-25.13126163,0,HALLMARK_ANGIOGENESIS
1447,88.37762,146.09851,-7.181094794,-42.53988476,-40.46258645,-50.71517996,-2.81E+01,-33.63380084,-19.61520627,-27.52626398,0,HALLMARK_ANGIOGENESIS
